"Sparkle PIVOT Sample CFU plating data recording sheet. Manually enter your data in columns marked with a ⭐ (optional: †) and the other columns should auto-calculate appropriately. The data are sortable, and can be filtered using the dropdowns in each column.",,,,,,,,,,,,,,,,,,,,,
95C-T17,21C,,"4, 5",2,,0.1,1.90,EC,2022/11/04,1.00E+05,382,373,,1.51E+09,2.55E+07,2.87E+10,4.84E+08,1.7%,,,
95C-T22,21C,,"3, 4",2,,0.1,1.90,EC,2022/11/04,1.00E+04,45,55,,2.00E+07,2.83E+06,3.80E+08,5.37E+07,14.1%,,,
95C-T21,21C,,"4, 5",2,,0.1,1.90,EC,2022/11/04,1.00E+05,39,29,,1.36E+08,2.83E+07,2.58E+09,5.37E+08,20.8%,,,
95C-T20,21C,,"4, 5",2,,0.1,1.90,EC,2022/11/04,1.00E+05,59,45,,2.08E+08,3.96E+07,3.95E+09,7.52E+08,19.0%,,,
95C-T18,21C,,"4, 5",2,,0.1,1.90,EC,2022/11/04,1.00E+05,588,557,,2.29E+09,8.77E+07,4.35E+10,1.67E+09,3.8%,,,
95C-T19,21C,,"3, 4",2,,0.1,1.90,EC,2022/11/04,1.00E+03,48,50,,1.96E+06,5.66E+04,3.72E+07,1.07E+06,2.9%,,,
97B-T9,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/04,1.00E+02,26,27,,1.06E+05,2.83E+03,2.01E+06,5.37E+04,2.7%,,,
97B-T13,21C,,"3, 4",2,,0.1,1.90,EC,2022/11/04,1.00E+03,104,37,,2.82E+06,1.90E+06,5.36E+07,3.60E+07,67.2%,,,
97C-T17,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/04,1.00E+03,529,505,,2.07E+07,6.79E+05,3.93E+08,1.29E+07,3.3%,,,
95D-T27,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/04,1.00E+02,862,814,,3.35E+06,1.36E+05,6.37E+07,2.58E+06,4.1%,,,
95D-T28,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/04,1.00E+01,136,138,,5.48E+04,5.66E+02,1.04E+06,1.07E+04,1.0%,,,
95D-T31,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/04,1.00E+01,100,117,,4.34E+04,4.81E+03,8.25E+05,9.14E+04,11.1%,,,
97A-T2,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/04,1.00E+01,192,194,,7.72E+04,5.66E+02,1.47E+06,1.07E+04,0.7%,,,
97A-T6,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/04,1.00E+03,386,380,,1.53E+07,1.70E+05,2.91E+08,3.22E+06,1.1%,,,
97A-T4,21C,,"1, 2",2,,0.1,1.90,EC,2022/11/04,1.00E+02,183,203,,7.72E+05,5.66E+04,1.47E+07,1.07E+06,7.3%,,,
97A-T7,21C,,"2, 3",2,,0.1,1.90,EC,2022/11/04,1.00E+03,447,479,,1.85E+07,9.05E+05,3.52E+08,1.72E+07,4.9%,,,
T1,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/11/08,1.00E+07,47,48,43,1.84E+10,1.06E+09,3.50E+11,2.01E+10,5.8%,,,
T2,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/11/08,1.00E+07,56,67,48,2.28E+10,3.82E+09,4.33E+11,7.25E+10,16.7%,,,
T3,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/11/08,1.00E+07,47,39,41,1.69E+10,1.67E+09,3.22E+11,3.16E+10,9.8%,,,
T4,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/11/08,1.00E+06,144,152,153,5.99E+09,1.97E+08,1.14E+11,3.75E+09,3.3%,,,
T5,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/11/08,1.00E+06,176,178,196,7.33E+09,4.41E+08,1.39E+11,8.37E+09,6.0%,,,
T6,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/11/08,1.00E+07,31,33,28,1.23E+10,1.01E+09,2.33E+11,1.91E+10,8.2%,,,
T7,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/11/08,1.00E+06,192,194,140,7.01E+09,1.22E+09,1.33E+11,2.33E+10,17.5%,,,
99A,FD Milling,,"6, 7",3,,0.1,1.90,EC,2022/11/08,1.00E+07,76,68,65,2.79E+10,2.27E+09,5.29E+11,4.32E+10,8.2%,,,
98B-T13,21C,,"2, 4 ,6",2,,0.1,1.90,EC,2022/11/08,1.00E+06,46,42,,1.76E+09,1.13E+08,3.34E+10,2.15E+09,6.4%,,,
98B-T14,21C,,"2, 4 ,6",2,,0.1,1.90,EC,2022/11/08,1.00E+06,32,29,,1.22E+09,8.49E+07,2.32E+10,1.61E+09,7.0%,,,
98B-T15,21C,,"2, 4 ,6",2,,0.1,1.90,EC,2022/11/08,1.00E+06,164,157,,6.42E+09,1.98E+08,1.22E+11,3.76E+09,3.1%,,,
98B-T16,21C,,"2, 4 ,6",2,,0.1,1.90,EC,2022/11/08,1.00E+06,102,79,,3.62E+09,6.51E+08,6.88E+10,1.24E+10,18.0%,,,
97D-T18,"No DS, 21C",,"2, 4 ,6",2,,0.1,1.90,EC,2022/11/08,1.00E+06,107,98,,4.10E+09,2.55E+08,7.79E+10,4.84E+09,6.2%,,,
97D-T18,"2%CaCl2, 21C",,"2, 4 ,6",2,,0.1,1.90,EC,2022/11/08,1.00E+06,34,35,,1.38E+09,2.83E+07,2.62E+10,5.37E+08,2.0%,,,
97EF-T19,"No DS, 21C",,"2, 4 ,6",2,,0.1,1.90,EC,2022/11/08,1.00E+06,161,155,,6.32E+09,1.70E+08,1.20E+11,3.22E+09,2.7%,,,
97EF-T19,"2%CaCl2, 21C",,"2, 4 ,6",2,,0.1,1.90,EC,2022/11/08,1.00E+06,292,289,,1.16E+10,8.49E+07,2.21E+11,1.61E+09,0.7%,,,
Y033,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/10,1.00E+08,33,34,,1.34E+11,2.83E+09,2.55E+12,5.37E+10,2.1%,,,
Y033,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/10,1.00E+08,136,151,,5.74E+11,4.24E+10,1.09E+13,8.06E+11,7.4%,,,
Y034,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/10,1.00E+08,53,38,,1.82E+11,4.24E+10,3.46E+12,8.06E+11,23.3%,,,
Y034,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/10,1.00E+08,46,48,,1.88E+11,5.66E+09,3.57E+12,1.07E+11,3.0%,,,
Y035,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/10,1.00E+08,105,136,,4.82E+11,8.77E+10,9.16E+12,1.67E+12,18.2%,,,
Y036,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/10,1.00E+08,93,110,,4.06E+11,4.81E+10,7.71E+12,9.14E+11,11.8%,,,
22GA0100,2% CaCl2,,"4, 5",3,,0.1,1.90,EC,2022/11/15,1.00E+05,35,30,41,1.41E+08,2.20E+07,2.69E+09,4.19E+08,15.6%,,,
22GA0100,10% MS,,"4, 5",3,,0.1,1.90,EC,2022/11/15,1.00E+04,75,65,76,2.88E+07,2.43E+06,5.47E+08,4.62E+07,8.4%,,,
22GA0101,2% CaCl2,,"3, 4",3,,0.1,1.90,EC,2022/11/15,1.00E+04,55,47,57,2.12E+07,2.12E+06,4.03E+08,4.02E+07,10.0%,,,
22GA0101,10% MS,,"3, 4",3,,0.1,1.90,EC,2022/11/15,1.00E+03,129,125,117,4.95E+06,2.44E+05,9.40E+07,4.64E+06,4.9%,,,
22GA0101,No DS,,"3, 4",3,,0.1,1.90,EC,2022/11/15,1.00E+04,175,195,168,7.17E+07,5.60E+06,1.36E+09,1.06E+08,7.8%,,,
22GA0105,2% CaCl2,,"4, 5",3,,0.1,1.90,EC,2022/11/15,1.00E+05,262,155,153,7.60E+08,2.49E+08,1.44E+10,4.74E+09,32.8%,,,
22GA0105,10% MS,,"4, 5",3,,0.1,1.90,EC,2022/11/15,1.00E+05,125,136,75,4.48E+08,1.30E+08,8.51E+09,2.47E+09,29.0%,,,
22GA0106,2% CaCl2,,"2, 3",3,,0.1,1.90,EC,2022/11/15,1.00E+02,43,34,42,1.59E+05,1.97E+04,3.01E+06,3.75E+05,12.4%,,,
22GA0106,10% MS,,"2, 3",3,,0.1,1.90,EC,2022/11/15,1.00E+02,85,86,92,3.51E+05,1.51E+04,6.66E+06,2.88E+05,4.3%,,,
Y033,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/16,1.00E+08,44,45,,1.78E+11,2.83E+09,3.38E+12,5.37E+10,1.6%,,,
Y033,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/16,1.00E+08,64,69,,2.66E+11,1.41E+10,5.05E+12,2.69E+11,5.3%,,,
Y034,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/16,1.00E+08,44,52,,1.92E+11,2.26E+10,3.65E+12,4.30E+11,11.8%,,,
Y034,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/16,1.00E+08,49,56,,2.10E+11,1.98E+10,3.99E+12,3.76E+11,9.4%,,,
Y035,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/16,1.00E+08,163,123,,5.72E+11,1.13E+11,1.09E+13,2.15E+12,19.8%,,,
Y036,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/16,1.00E+08,84,105,,3.78E+11,5.94E+10,7.18E+12,1.13E+12,15.7%,,,
Y033,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/17,1.00E+08,43,48,,1.82E+11,1.41E+10,3.46E+12,2.69E+11,7.8%,,,
Y033,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/17,1.00E+08,71,67,,2.76E+11,1.13E+10,5.24E+12,2.15E+11,4.1%,,,
Y034,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/17,1.00E+08,57,64,,2.42E+11,1.98E+10,4.60E+12,3.76E+11,8.2%,,,
Y034,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/17,1.00E+08,77,72,,2.98E+11,1.41E+10,5.66E+12,2.69E+11,4.7%,,,
Y035,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/17,1.00E+08,84,93,,3.54E+11,2.55E+10,6.73E+12,4.84E+11,7.2%,,,
Y036,40h,,"7, 8",2,,0.1,1.90,EC,2022/11/17,1.00E+08,113,102,,4.30E+11,3.11E+10,8.17E+12,5.91E+11,7.2%,,,
Y041,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/17,1.00E+08,78,80,,3.16E+11,5.66E+09,6.00E+12,1.07E+11,1.8%,,,
Y042,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/17,1.00E+08,122,65,,3.74E+11,1.61E+11,7.11E+12,3.06E+12,43.1%,,,
Y043,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/17,1.00E+08,135,133,,5.36E+11,5.66E+09,1.02E+13,1.07E+11,1.1%,,,
Y044,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/17,1.00E+08,123,122,,4.90E+11,2.83E+09,9.31E+12,5.37E+10,0.6%,,,
Y041,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/18,1.00E+08,47,51,,1.96E+11,1.13E+10,3.72E+12,2.15E+11,5.8%,"Re-plated with new pipettes, buffer, and incubator",,
Y042,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/18,1.00E+08,30,46,,1.52E+11,4.53E+10,2.89E+12,8.60E+11,29.8%,"Re-plated with new pipettes, buffer, and incubator",,
Y043,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/18,1.00E+08,94,78,,3.44E+11,4.53E+10,6.54E+12,8.60E+11,13.2%,"Re-plated with new pipettes, buffer, and incubator",,
Y044,48h,,"7, 8",2,,0.1,1.90,EC,2022/11/18,1.00E+08,91,110,,4.02E+11,5.37E+10,7.64E+12,1.02E+12,13.4%,"Re-plated with new pipettes, buffer, and incubator",,
Y041 (B),48h,,"7, 8",2,,0.1,1.90,EC,2022/11/18,1.00E+08,55,59,,2.28E+11,1.13E+10,4.33E+12,2.15E+11,5.0%,"Re-plated Ben's samples with new pipettes, buffer, and incubator",,
Y042 (B),48h,,"7, 8",2,,0.1,1.90,EC,2022/11/18,1.00E+08,33,26,,1.18E+11,1.98E+10,2.24E+12,3.76E+11,16.8%,"Re-plated Ben's samples with new pipettes, buffer, and incubator",,
Y043 (B),48h,,"7, 8",2,,0.1,1.90,EC,2022/11/18,1.00E+08,98,87,,3.70E+11,3.11E+10,7.03E+12,5.91E+11,8.4%,"Re-plated Ben's samples with new pipettes, buffer, and incubator",,
Y044 (B),48h,,"7, 8",2,,0.1,1.90,EC,2022/11/18,1.00E+08,90,81,,3.42E+11,2.55E+10,6.50E+12,4.84E+11,7.4%,"Re-plated Ben's samples with new pipettes, buffer, and incubator",,
T1,FD Milling,,"6, 7",2,,0.1,1.90,EC,2022/11/22,1.00E+07,43,25,,1.36E+10,5.09E+09,2.58E+11,9.67E+10,37.4%,,,
T2,FD Milling,,"6, 7",2,,0.1,1.90,EC,2022/11/22,1.00E+07,37,34,,1.42E+10,8.49E+08,2.70E+11,1.61E+10,6.0%,,,
T3,FD Milling,,"6, 7",2,,0.1,1.90,EC,2022/11/22,1.00E+06,250,217,,9.34E+09,9.33E+08,1.77E+11,1.77E+10,10.0%,,,
T4,FD Milling,,"6, 7",2,,0.1,1.90,EC,2022/11/22,1.00E+06,132,126,,5.16E+09,1.70E+08,9.80E+10,3.22E+09,3.3%,,,
T5,FD Milling,,"6, 7",2,,0.1,1.90,EC,2022/11/22,1.00E+06,132,135,,5.34E+09,8.49E+07,1.01E+11,1.61E+09,1.6%,,,
T6,FD Milling,,"6, 7",2,,0.1,1.90,EC,2022/11/22,1.00E+06,132,129,,5.22E+09,8.49E+07,9.92E+10,1.61E+09,1.6%,,,
T7,FD Milling,,"6, 7",2,,0.1,1.90,EC,2022/11/22,1.00E+06,141,139,,5.60E+09,5.66E+07,1.06E+11,1.07E+09,1.0%,,,
99A,FD Milling,,"6, 7",2,,0.1,1.90,EC,2022/11/22,1.00E+07,85,78,,3.26E+10,1.98E+09,6.19E+11,3.76E+10,6.1%,,,
86-3,25C FD ,,"1, 2, 3",2,,0.1,1.90,EC,2022/11/28,1.00E+03,386,402,,1.58E+07,4.53E+05,2.99E+08,8.60E+06,2.9%,,,
86-7,25C FD ,,"1, 2, 3",2,,0.1,1.90,EC,2022/11/28,1.00E+03,296,297,,1.19E+07,2.83E+04,2.25E+08,5.37E+05,0.2%,,,
92A-T2,25C FD ,,0,2,,0.1,1.90,EC,2022/11/28,1.00E+00,21,19,,8.00E+02,5.66E+01,1.52E+04,1.07E+03,7.1%,,,
92A-T5,25C FD ,,"0, 1, 2",2,,0.1,1.90,EC,2022/11/28,1.00E+02,316,309,,1.25E+06,1.98E+04,2.38E+07,3.76E+05,1.6%,,,
92A-T7,25C FD ,,"2, 3, 4",2,,0.1,1.90,EC,2022/11/28,1.00E+03,74,159,,4.66E+06,2.40E+06,8.85E+07,4.57E+07,51.6%,,,
95A-T5,25C FD ,,"0, 1",2,,0.1,1.90,EC,2022/11/28,1.00E+00,3,3,,1.20E+02,0.00E+00,2.28E+03,0.00E+00,0.0%,,,
95A-T8,25C FD ,,"0, 1",2,,0.1,1.90,EC,2022/11/28,1.00E+01,43,41,,1.68E+04,5.66E+02,3.19E+05,1.07E+04,3.4%,,,
90D-T13,25C FD ,,"3, 4, 5",2,,0.1,1.90,EC,2022/11/28,1.00E+05,670,669,,2.68E+09,2.83E+06,5.09E+10,5.37E+07,0.1%,,,
90D-T14,25C FD ,,"2, 3, 4",2,,0.1,1.90,EC,2022/11/28,1.00E+04,380,385,,1.53E+08,1.41E+06,2.91E+09,2.69E+07,0.9%,,,
90C-T9,25C FD ,,"3, 4, 5",2,,0.1,1.90,EC,2022/11/28,1.00E+05,190,189,,7.58E+08,2.83E+06,1.44E+10,5.37E+07,0.4%,,,
90C-T10,25C FD ,,"3, 4, 5",2,,0.1,1.90,EC,2022/11/28,1.00E+05,128,152,,5.60E+08,6.79E+07,1.06E+10,1.29E+09,12.1%,,,
92B-T10,4C FD,,"4, 5, 6",2,,0.1,1.90,EC,2022/11/28,1.00E+05,218,194,,8.24E+08,6.79E+07,1.57E+10,1.29E+09,8.2%,,,
92B-T11,4C FD,,"4, 5",2,,0.1,1.90,EC,2022/11/28,1.00E+05,159,170,,6.58E+08,3.11E+07,1.25E+10,5.91E+08,4.7%,,,
92B-T12,4C FD,,"4, 5",2,,0.1,1.90,EC,2022/11/28,1.00E+05,176,174,,7.00E+08,5.66E+06,1.33E+10,1.07E+08,0.8%,,,
90C-T9,4C FD,,"5, 6",2,,0.1,1.90,EC,2022/11/28,1.00E+06,309,328,,1.27E+10,5.37E+08,2.42E+11,1.02E+10,4.2%,,,
90C-T10,4C FD,,"5, 6",2,,0.1,1.90,EC,2022/11/28,1.00E+06,376,378,,1.51E+10,5.66E+07,2.87E+11,1.07E+09,0.4%,,,
90D-T13,4C FD,,"4, 5, 6",2,,0.1,1.90,EC,2022/11/28,1.00E+06,203,227,,8.60E+09,6.79E+08,1.63E+11,1.29E+10,7.9%,,,
90D-T14,4C FD,,"4, 5, 6",2,,0.1,1.90,EC,2022/11/28,1.00E+06,245,242,,9.74E+09,8.49E+07,1.85E+11,1.61E+09,0.9%,,,
22GA0003,2% CaCl2,,"4, 5",2,,0.1,1.90,EC,2022/11/29,1.00E+05,149,212,,7.22E+08,1.78E+08,1.37E+10,3.39E+09,24.7%,,,
22GA0003,10% MS,,"4, 5",2,,0.1,1.90,EC,2022/11/29,1.00E+05,111,158,,5.38E+08,1.33E+08,1.02E+10,2.53E+09,24.7%,,,
94B-T9,4C FD,,"5, 6, 7",2,,0.1,1.90,EC,2022/11/29,1.00E+06,42,41,,1.66E+09,2.83E+07,3.15E+10,5.37E+08,1.7%,,,
94B-T10,4C FD,,"4, 5",2,,0.1,1.90,EC,2022/11/29,1.00E+05,71,69,,2.80E+08,5.66E+06,5.32E+09,1.07E+08,2.0%,,,
94B-T11,4C FD,,"5, 6",2,,0.1,1.90,EC,2022/11/29,1.00E+07,46,31,,1.54E+10,4.24E+09,2.93E+11,8.06E+10,27.5%,,,
92A-T1,4C FD,,"4, 5",2,,0.1,1.90,EC,2022/11/29,1.00E+05,391,446,,1.67E+09,1.56E+08,3.18E+10,2.96E+09,9.3%,,,
92A-T2,4C FD,,"2, 3, 4",2,,0.1,1.90,EC,2022/11/29,1.00E+04,64,40,,2.08E+07,6.79E+06,3.95E+08,1.29E+08,32.6%,,,
IFF09152022-2,"T1, Pellet As is",,"6, 7",2,,0.3,5.70,EC,2022/11/29,1.00E+07,89,98,,3.74E+10,2.55E+09,7.11E+11,4.84E+10,6.8%,,,
IFF09152022-3,"T1, Pellet As is",,"6, 7",2,,0.3,5.70,EC,2022/11/29,1.00E+07,55,60,,2.30E+10,1.41E+09,4.37E+11,2.69E+10,6.1%,,,
IFF10202022-1,"T1, Pellet As is",,"6, 7",2,,0.3,5.70,EC,2022/11/29,1.00E+07,40,36,,1.52E+10,1.13E+09,2.89E+11,2.15E+10,7.4%,,,
IFF10202022-2,"T1, Pellet As is",,"6, 7",2,,0.3,5.70,EC,2022/11/29,1.00E+07,28,30,,1.16E+10,5.66E+08,2.20E+11,1.07E+10,4.9%,,,
IFF09152022-2,"T4, Bulked Powder",,"6, 7",2,,0.3,5.70,EC,2022/11/29,1.00E+07,45,46,,1.82E+10,2.83E+08,3.46E+11,5.37E+09,1.6%,,,
IFF09152022-3,"T4, Bulked Powder",,"6, 7",2,,0.3,5.70,EC,2022/11/29,1.00E+07,38,33,,1.42E+10,1.41E+09,2.70E+11,2.69E+10,10.0%,,,
IFF10202022-1,"T4, Bulked Powder",,"6, 7",2,,0.3,5.70,EC,2022/11/29,1.00E+06,159,174,,6.66E+09,4.24E+08,1.27E+11,8.06E+09,6.4%,,,
IFF10202022-2,"T4, Bulked Powder",,"6, 7",2,,0.3,5.70,EC,2022/11/29,1.00E+06,129,152,,5.62E+09,6.51E+08,1.07E+11,1.24E+10,11.6%,,,
94B-T13,4C FD,,,2,,0.1,1.90,EC,2022/11/29,1.00E+05,79,84,,3.26E+08,1.41E+07,6.19E+09,2.69E+08,4.3%,,,
94B-T14,4C FD,,,2,,0.1,1.90,EC,2022/11/29,1.00E+05,42,41,,1.66E+08,2.83E+06,3.15E+09,5.37E+07,1.7%,,,
94B-T15,4C FD,,,2,,0.1,1.90,EC,2022/11/29,1.00E+06,51,65,,2.32E+09,3.96E+08,4.41E+10,7.52E+09,17.1%,,,
94B-T16,4C FD,,,2,,0.1,1.90,EC,2022/11/29,1.00E+06,30,46,,1.52E+09,4.53E+08,2.89E+10,8.60E+09,29.8%,,,
92A-T4,4C FD,,,2,,0.1,1.90,EC,2022/11/29,1.00E+06,236,257,,9.86E+09,5.94E+08,1.87E+11,1.13E+10,6.0%,,,
92A-T5,4C FD,,,2,,0.1,1.90,EC,2022/11/29,1.00E+06,40,75,,2.30E+09,9.90E+08,4.37E+10,1.88E+10,43.0%,,,
92A-T7,4C FD,,,2,,0.1,1.90,EC,2022/11/29,1.00E+06,30,33,,1.26E+09,8.49E+07,2.39E+10,1.61E+09,6.7%,,,
92A-T1,21C FD,,,2,,0.1,1.90,EC,2022/11/29,1.00E+03,39,33,,1.44E+06,1.70E+05,2.74E+07,3.22E+06,11.8%,,,
92A-T2,21C FD,,,2,,0.1,1.90,EC,2022/11/29,1.00E+00,92,112,,4.08E+03,5.66E+02,7.75E+04,1.07E+04,13.9%,,,
92A-T5,21C FD,,,2,,0.1,1.90,EC,2022/11/29,1.00E+03,88,72,,3.20E+06,4.53E+05,6.08E+07,8.60E+06,14.1%,,,
92A-T7,21C FD,,,2,,0.1,1.90,EC,2022/11/29,1.00E+03,55,51,,2.12E+06,1.13E+05,4.03E+07,2.15E+06,5.3%,,,
92A-T7,25C FD ,,,2,,0.1,1.90,EC,2022/11/29,1.00E+03,36,39,,1.50E+06,8.49E+04,2.85E+07,1.61E+06,5.7%,,,
92A-T4,25C FD ,,,2,,0.1,1.90,EC,2022/11/29,1.00E+06,34,32,,1.32E+09,5.66E+07,2.51E+10,1.07E+09,4.3%,,,
94A-T2,25C FD ,,,2,,0.1,1.90,EC,2022/11/29,1.00E+02,53,48,,2.02E+05,1.41E+04,3.84E+06,2.69E+05,7.0%,,,
FDL-092B-T10,mylar no DS + 21 C,,"2, 3",2,,0.2614,6.00,CL,2022/12/02,,,,,0.00E+00,#DIV/0!,0.00E+00,#DIV/0!,#DIV/0!,"Rep 1 TSA, Rep 2 YPD",,
IFF09152022-2,Pellet As is ,,"2, 4",2,,0.2912,6.00,CL,2022/12/02,1.00E+04,76,61,,2.74E+07,4.24E+06,5.65E+08,8.74E+07,15.5%,"Rep 1 TSA, Rep 2 YPD",,
IFF09152022-2,Bulked Powder,,"2, 4",2,,0.3219,6.00,CL,2022/12/02,1.00E+04,14,16,,6.00E+06,5.66E+05,1.12E+08,1.05E+07,9.4%,"Rep 1 TSA, Rep 2 YPD",,
FDL-092B-T09,mylar no DS + 21 C,,"0, 1",2,,0.2814,6.00,CL,2022/12/02,,,,,0.00E+00,#DIV/0!,0.00E+00,#DIV/0!,#DIV/0!,"Rep 1 TSA, Rep 2 YPD",,
IFF10202022-2,Pellet As is ,,"0, 2",2,,0.3245,6.00,CL,2022/12/02,1.00E+02,0,0,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,#DIV/0!,"Rep 1 TSA, Rep 2 YPD, goopy at 10^0",,
IFF10202022-2,Bulked Powder,,"0, 2",2,,0.2970,6.00,CL,2022/12/02,1.00E+02,0,0,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,#DIV/0!,"Rep 1 TSA, Rep 2 YPD, goopy at 10^0",,
IFF10202022-2,Pellet As is ,,"4,5,6",2,,0.3,5.70,EC,2022/12/01,1.00E+04,0,0,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,#DIV/0!,,,
IFF10202022-2,Bulked Powder,,"4,5,6",2,,0.3,5.70,EC,2022/12/01,1.00E+04,0,0,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,#DIV/0!,,,
IFF09152022-2,Pellet As is ,,"4,5,6",2,,0.3,5.70,EC,2022/12/01,1.00E+05,90,98,,3.76E+08,2.26E+07,7.14E+09,4.30E+08,6.0%,,,
IFF09152022-2,Bulked Powder,,"4,5,6",2,,0.3,5.70,EC,2022/12/01,1.00E+05,31,39,,1.40E+08,2.26E+07,2.66E+09,4.30E+08,16.2%,,,
98A-T1,21C FD (10/6),,"5, 6",2,,0.1,1.90,EC,2022/12/12,1.00E+06,0,0,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,#DIV/0!,,,
98A-T2,21C FD (10/6),,"5, 6",2,,0.1,1.90,EC,2022/12/12,1.00E+05,4,2,,1.20E+07,5.66E+06,2.28E+08,1.07E+08,47.1%,,,
98A-T3,21C FD (10/6),,"4, 5",2,,0.1,1.90,EC,2022/12/12,1.00E+04,1,1,,4.00E+05,0.00E+00,7.60E+06,0.00E+00,0.0%,,,
