Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,Sub-Sample,Ferm Condition,Storage form,Temperature (°C),Container,Bulking,Desiccant,Quantity (g),Sample location,Week 0 CFU/g,Week 2 CFU/g,Week 4 CFU/g,Week 8 CFU/g,Week 12 CFU/g,decay_rate_fitted,Rsquared_fitted,decay_rate_errbar,decay_rate_lower95interval,decay_rate_upper95interval,estimate_day_2e10,Week 0 Aw,Week 2 Aw,Week 4 Aw,Week 8 Aw,Week 12 Aw,,,,
120,23PT0119-5,FDL-105EF-T24-CC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,2%CaCl2,8,Deli case @ D120,1.13E+11,9.56E+10,4.56E+10,,,-0.014125733,0.884323873,0.010013255,-0.024138989,-0.004112478,5.33E+01,,0.281,0.277,,,,,,
121,23PT0119-5,FDL-105EF-T24-CC2,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,10%CaCl2,8,Deli case @ D120,1.22E+11,9.06E+10,4.31E+10,,,-0.0161803,0.943177302,0.00778393,-0.02396423,-0.00839637,4.86E+01,,0.124,0.121,,,,,,
122,23PT0119-5,FDL-105EF-T24-SO1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,10%SIO2,8,Deli case @ D120,1.13E+11,8.04E+10,4.10E+10,,,-0.015791877,0.965820748,0.005822572,-0.021614449,-0.009969305,4.77E+01,,0.331,0.325,,,,,,
123,23PT0119-5,FDL-105EF-T24-SO2,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,25%SIO2,8,Deli case @ D120,1.22E+11,6.40E+10,3.25E+10,,,-0.020541352,0.999837863,0.000512688,-0.02105404,-0.020028663,3.83E+01,,0.333,0.332,,,,,,
124,23PT0119-5,FDL-105EF-T24-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%TMC,8,Deli case @ D120,1.13E+11,1.14E+11,2.99E+10,,,-0.020675394,0.746865539,0.023591541,-0.044266935,0.002916147,3.64E+01,,0.291,0.298,,,,,,
125,23PT0119-5,FDL-105EF-T24-TMC2,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,25%TMC,8,Deli case @ D120,1.22E+11,1.00E+11,4.03E+10,,,-0.017217864,0.880036006,0.012459557,-0.029677421,-0.004758307,4.57E+01,,0.257,0.301,,,,,,
126,22PT1117-8,FDL-105B-T10-CC1,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, high EPS",Bulked powder,21,Mylar,PVT,2%CaCl2,8,Deli case @ D120,1.26E+11,1.03E+11,8.19E+10,,,-0.006683664,0.999318222,0.000342163,-0.007025827,-0.006341502,1.20E+02,,0.258,0.268,,,,,,
127,22PT1117-8,FDL-105B-T10-CC2,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, high EPS",Bulked powder,21,Mylar,PVT,10%CaCl2,8,Deli case @ D120,1.41E+11,1.34E+11,9.16E+10,,,-0.006642304,0.837601714,0.00573243,-0.012374733,-0.000909874,1.28E+02,,0.127,0.12,,,,,,
128,23PT0119-8,FDL-105EF-T26-CC1,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, no EPS",Bulked powder,21,Mylar,PVT,2%CaCl2,8,Deli case @ D120,1.17E+11,8.99E+10,7.30E+10,,,-0.007301202,0.995515043,0.000960501,-0.008261703,-0.006340702,1.05E+02,0.31,0.302,0.3111,,,,,,
129,23PT0119-8,FDL-105EF-T26-CC2,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, no EPS",Bulked powder,21,Mylar,PVT,10%CaCl2,8,Deli case @ D121,1.03E+11,9.50E+10,7.56E+10,,,-0.004868323,0.934815288,0.002519634,-0.007387957,-0.002348689,1.47E+02,,0.116,0.129,,,,,,
130,23PT0119-8,FDL-105EF-T26-TMC1,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, no EPS",Bulked powder,21,Mylar,PVT,10%TMC,8,Deli case @ D122,1.01E+11,7.85E+10,7.26E+10,,,-0.005167243,0.914318066,0.003100294,-0.008267537,-0.002066948,1.36E+02,,0.322,0.35,,,,,,
131,23PT0119-8,FDL-105EF-T26-TMC2,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, no EPS",Bulked powder,21,Mylar,PVT,25%TMC,8,Deli case @ D123,8.78E+10,5.74E+10,3.93E+10,,,-0.012485014,0.99896724,0.000786794,-0.013271808,-0.01169822,5.15E+01,,0.379,0.397,,,,,,
132,23PT0119-8,FDL-105EF-T26-SO1,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, no EPS",Bulked powder,21,Mylar,PVT,10%SIO2,8,Deli case @ D124,7.18E+10,5.36E+10,3.50E+10,,,-0.011120387,0.988534987,0.002347249,-0.013467636,-0.008773137,4.99E+01,,0.349,0.366,,,,,,
133,23PT0119-8,FDL-105EF-T26-SO2,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, no EPS",Bulked powder,21,Mylar,PVT,25%SIO2,8,Deli case @ D125,5.53E+10,4.35E+10,2.58E+10,,,-0.011855052,0.956184742,0.004973858,-0.01682891,-0.006881195,3.73E+01,,0.377,0.398,,,,,,
134,23PT0119-2,FDL-105EF-T22-Try,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"T+P, no EPS",Bulked powder,21,Mylar,Tryptone,5%SIO2,8,Deli case @ D126,9.20E+10,,5.74E+10,,,-0.007318485,1,,,,9.06E+01,,0.282,0.328,,,,,,
135,23PT0119-5,FDL-105EF-T24-SKP,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,SKP,5%SIO2,8,Deli case @ D127,1.07E+11,,3.80E+10,,,-0.016031358,1,,,,4.54E+01,,0.326,0.305,,,,,,
136,22PT1117-8,FDL-105B-T10-SKP,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, high EPS",Bulked powder,21,Mylar,SKP,5%SIO2,8,Deli case @ D120,,,6.80E+10,4.14E+10,,,,,,,#NUM!,,,0.277,0.26,,,,,
137,22PT1117-8,FDL-105B-T10-Try,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, high EPS",Bulked powder,21,Mylar,Tryptone,5%SIO2,8,Deli case @ D120,,,3.29E+10,2.15E+10,,,,,,,#NUM!,,,0.274,0.262,,,,,
138,22PT1117-5,FDL-105C-T15-SKP,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,SKP,5%SIO2,8,Deli case @ D120,6.50E+10,,2.66E+10,8.02E+09,,-0.013863578,1,,,,3.69E+01,,,0.251,0.253,,,,,
139,22PT1117-5,FDL-105C-T15-Try,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,Tryptone,5%SIO2,8,Deli case @ D120,6.50E+10,,2.74E+10,7.18E+09,,-0.013378834,1,,,,3.83E+01,,,0.258,0.262,,,,,
140,22PT1102-8,FDL-105C-T14-Try,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"Glucose, no EPS",Bulked powder,21,Mylar,Tryptone,5%SIO2,8,Deli case @ D120,1.00E+11,,9.04E+10,4.69E+10,,-0.001583378,1,,,,4.42E+02,,,0.263,0.274,,,,,
141,22PT1102-7,FDL-105D-T20-Try,Klebsiella variicola,SKP,bulked powder_21_mylar_n,"Glucose, no EPS",Bulked powder,21,Mylar,Tryptone,5%SIO2,8,Deli case @ D120,1.18E+11,,8.06E+10,6.29E+10,,-0.00587753,1,,,,1.31E+02,,,0.253,0.248,,,,,
142,23PT0119-4,FDL-105G-T33-Try,Kosakonia sacchari,SKP,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,Tryptone,5%SIO2,8,Incubator @ D120,5.15E+10,,3.42E+10,1.60E+10,,-0.006352672,1,,,,6.47E+01,,,0.236,0.218,,,,,
143,23PT0227-4,FDL-111EF-T18 ,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%SIO2,8,Incubator @ D120,8.74E+10,,,,,,,,,,#DIV/0!,,,,,,,,,
144,23PT0227-4,FDL-111EF-T18-CC1TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%TMC+2%CaCl2,8,Incubator @ D120,1.01E+11,,,,,,,,,,#DIV/0!,,,,,,,,,
145,23PT0227-4,FDL-111EF-T18-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%TMC,8,Incubator @ D120,8.44E+10,,,,,,,,,,#DIV/0!,,,,,,,,,
146,23PT0227-6,FDL-111EF-T19,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%SIO2,8,Incubator @ D120,1.09E+11,,,,,,,,,,#DIV/0!,,,,,,,,,
147,23PT0227-6,FDL-111EF-T19-CC1TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%TMC+2%CaCl2,8,Incubator @ D120,1.43E+11,,,,,,,,,,#DIV/0!,,,,,,,,,
148,23PT0227-6,FDL-111EF-T19-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%TMC,8,Incubator @ D120,1.07E+11,,,,,,,,,,#DIV/0!,,,,,,,,,
149,23PT0227-4,FDL-111G-T22,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%SIO2,8,Incubator @ D120,7.30E+10,,,,,,,,,,#DIV/0!,,,,,,,,,
150,23PT0227-4,FDL-111G-T22-CC1TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%TMC+2%CaCl2,8,Incubator @ D120,7.60E+10,,,,,,,,,,#DIV/0!,,,,,,,,,
151,23PT0227-4,FDL-111G-T22-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%TMC,8,Incubator @ D120,6.42E+10,,,,,,,,,,#DIV/0!,,,,,,,,,
152,23PT0227-6,FDL-111G-T23 ,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%SIO2,8,Incubator @ D120,7.39E+10,,,,,,,,,,#DIV/0!,,,,,,,,,
153,23PT0227-6,FDL-111G-T23-CC1TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%TMC+2%CaCl2,8,Incubator @ D120,7.81E+10,,,,,,,,,,#DIV/0!,,,,,,,,,
154,23PT0227-6,FDL-111G-T23-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%TMC,8,Incubator @ D120,7.90E+10,,,,,,,,,,#DIV/0!,,,,,,,,,
155,23PT0227-4,FDL-111A-T2,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%SIO2,,,1.11E+10,1.15E+09,,,,-0.070277575,1,,,,-3.66E+00,,0.178,,,,,,,
156,23PT0227-4,FDL-111A-T2-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%TMC,,,1.26E+10,1.87E+09,,,,-0.059133064,1,,,,-3.41E+00,,0.172,,,,,,,
157,23PT0227-4,FDL-111A-T2-TMC2,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,25%TMC,,,1.26E+10,2.77E+08,,,,-0.118321795,1,,,,-1.70E+00,,0.135,,,,,,,
158,23PT0227-6,FDL-111A-T3,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%SIO2,,,1.95E+10,2.70E+09,,,,-0.061407484,1,,,,-1.67E-01,,0.167,,,,,,,
159,23PT0227-6,FDL-111A-T3-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%TMC,,,1.96E+10,3.46E+09,,,,-0.053829165,1,,,,-1.60E-01,,0.16,,,,,,,
160,23PT0227-6,FDL-111A-T3-TMC2,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,25%TMC,,,1.96E+10,4.22E+09,,,,-0.047666194,1,,,,-1.80E-01,,0.143,,,,,,,
161,23PT0227-8,FDL-111A-T4,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"P only, con",Bulked powder,21,Mylar,PVT,5%SIO2,,,2.43E+09,2.66E+08,,,,-0.06864871,1,,,,-1.33E+01,,0.168,,,,,,,
162,23PT0227-8,FDL-111A-T4-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"P only, con",Bulked powder,21,Mylar,PVT,5%TMC,,,1.75E+09,2.96E+08,,,,-0.055047373,1,,,,-1.92E+01,,0.141,,,,,,,
163,23PT0227-8,FDL-111A-T4-TMC2,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"P only, con",Bulked powder,21,Mylar,PVT,25%TMC,,,1.75E+09,3.76E+08,,,,-0.047651617,1,,,,-2.22E+01,,0.121,,,,,,,
164,23PT0227-8,FDL-111B-T8-CC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"P only, con",Bulked powder,21,Mylar,PVT,2% CaCl2,,,1.51E+11,3.72E+10,,,,,,,,,#DIV/0!,,0.257,,,,,,,
165,23PT0227-8,FDL-111B-T8-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"P only, con",Bulked powder,21,Mylar,PVT,5%TMC,,,1.75E+11,2.69E+10,,,,,,,,,#DIV/0!,,0.351,,,,,,,
166,23PT0227-8,FDL-111B-T8,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"P only, con",Bulked powder,21,Mylar,PVT,5%SIO2,,,1.39E+11,1.80E+10,,,,,,,,,#DIV/0!,,0.369,,,,,,,
167,23PT0227-4,FDL-111D-T14-CC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,2% CaCl2,,,1.29E+11,1.22E+10,,,,,,,,,#DIV/0!,,0.265,,,,,,,
168,23PT0227-4,FDL-111D-T14-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%TMC,,,1.27E+11,9.88E+09,,,,,,,,,#DIV/0!,,0.312,,,,,,,
169,23PT0227-4,FDL-111D-T14,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%SIO2,,,1.07E+11,5.83E+09,,,,,,,,,#DIV/0!,,0.329,,,,,,,
170,23PT0227-6,FDL-111D-T15-CC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,2% CaCl2,,,1.50E+11,3.60E+10,,,,,,,,,#DIV/0!,,0.242,,,,,,,
171,23PT0227-6,FDL-111D-T15-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%TMC,,,1.41E+11,2.66E+10,,,,,,,,,#DIV/0!,,0.309,,,,,,,
172,23PT0227-6,FDL-111D-T15,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%SIO2,,,1.57E+11,2.20E+10,,,,,,,,,#DIV/0!,,0.332,,,,,,,
173,23PT0126-2,FDL-105K-T42,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T+P,Bulked powder,21,Mylar,PVT,5%SIO2,45.5% Sucrose,22.75% Inulin,3.55E+10,,7.65E+09,,,-0.023790039,1,,,,1.05E+01,,,,,,,,,
174,23PT0126-5,FDL-105K-T44,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"T+P, 0.7% XG",Bulked powder,21,Mylar,PVT,5%SIO2,45.5% Sucrose,22.75% Inulin,6.84E+10,,2.15E+09,,,-0.053640887,1,,,,9.96E+00,,,,,,,,,
175,23PT0227-4,FDL-111EF-T18 ,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%SIO2,,,8.74E+10,,,,,,,,,,,,,,,,,,,
176,23PT0227-4,FDL-111EF-T18-CC1TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%TMC+2% CaCl2,,,1.01E+11,,,,,,,,,,,,,,,,,,,
177,23PT0227-4,FDL-111EF-T18-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%TMC,,,8.44E+10,,,,,,,,,,,,,,,,,,,
178,23PT0227-6,FDL-111EF-T19,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%SIO2,,,1.09E+11,,,,,,,,,,,,,,,,,,,
179,23PT0227-6,FDL-111EF-T19-CC1TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%TMC+2% CaCl2,,,1.43E+11,,,,,,,,,,,,,,,,,,,
180,23PT0227-6,FDL-111EF-T19-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%TMC,,,1.07E+11,,,,,,,,,,,,,,,,,,,
181,23PT0227-4,FDL-111G-T22,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%SIO2,,,7.30E+10,,,,,,,,,,,,,,,,,,,
182,23PT0227-4,FDL-111G-T22-CC1TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%TMC+2% CaCl2,,,7.60E+10,,,,,,,,,,,,,,,,,,,
183,23PT0227-4,FDL-111G-T22-TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,T only,Bulked powder,21,Mylar,PVT,5%TMC,,,6.42E+10,,,,,,,,,,,,,,,,,,,
184,23PT0227-6,FDL-111G-T23 ,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%SIO2,,,7.39E+10,,,,,,,,,,,,,,,,,,,
185,23PT0227-6,FDL-111G-T23-CC1TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%TMC+2% CaCl2,,,7.81E+10,,,,,,,,,,,,,,,,,,,
186,23PT0227-6,FDL-111G T23 TMC1,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%TMC,,,7.90E+10,,,,,,,,,,,,,,,,,,,
,,,,,,,Bulked powder,21,Mylar,PVT,,,,,,,,,,,,,,,,,,,,,,,
